d=0.85, epsilon=1e-7, iter 70
nodeid	pagerank
0	0.002552
1	0.004384
2	0.001021
3	0.004910
4	0.006253
5	0.002717
6	0.000531
7	0.002234
8	0.000819
9	0.004430
10	0.002410
11	0.000299
12	0.000283
13	0.003764
14	0.000638
15	0.000247
16	0.001450
17	0.000545
18	0.000223
19	0.000483
20	0.000611
21	0.003687
22	0.001552
23	0.000499
24	0.001621
25	0.003657
26	0.003994
27	0.000557
28	0.000542
29	0.001989
30	0.003599
31	0.002200
32	0.000238
33	0.000178
34	0.000214
35	0.000173
36	0.000480
37	0.000161
38	0.001660
39	0.001921
40	0.003216
41	0.000614
42	0.000170
43	0.000153
44	0.000358
45	0.001087
46	0.000178
47	0.000156
48	0.003300
49	0.000167
50	0.000727
51	0.000747
52	0.000153
53	0.002691
54	0.001583
55	0.002964
56	0.003671
57	0.002071
58	0.000213
59	0.002419
60	0.001123
61	0.000248
62	0.002810
63	0.000758
64	0.000255
65	0.001414
66	0.001969
67	0.003458
68	0.000172
69	0.001152
70	0.000142
71	0.000150
72	0.002387
73	0.001861
74	0.000131
75	0.001526
76	0.000320
77	0.000631
78	0.005519
79	0.001562
80	0.002277
81	0.000138
82	0.002192
83	0.000700
84	0.001322
85	0.001304
86	0.000148
87	0.001970
88	0.002591
89	0.000308
90	0.000129
91	0.000749
92	0.002091
93	0.000348
94	0.001888
95	0.000271
96	0.000966
97	0.000134
98	0.002902
99	0.000185
100	0.000287
101	0.001673
102	0.000155
103	0.001443
104	0.002379
105	0.001390
106	0.001261
107	0.000511
108	0.001101
109	0.002210
110	0.000571
111	0.000414
112	0.000246
113	0.002514
114	0.000121
115	0.000563
116	0.000513
117	0.000671
118	0.002149
119	0.002267
120	0.000169
121	0.000825
122	0.002676
123	0.001453
124	0.000358
125	0.000353
126	0.001103
127	0.001055
128	0.001957
129	0.000503
130	0.001769
131	0.000157
132	0.000834
133	0.001945
134	0.001410
135	0.000610
136	0.000696
137	0.000380
138	0.000214
139	0.000662
140	0.000367
141	0.002477
142	0.002287
143	0.000169
144	0.000417
145	0.000119
146	0.000486
147	0.000256
148	0.001070
149	0.000401
150	0.000349
151	0.000264
152	0.003152
153	0.000137
154	0.000118
155	0.000197
156	0.000753
157	0.000185
158	0.001198
159	0.001155
160	0.000125
161	0.001494
162	0.000284
163	0.000285
164	0.000499
165	0.000936
166	0.000121
167	0.000240
168	0.000511
169	0.001954
170	0.002095
171	0.000284
172	0.002941
173	0.000143
174	0.000246
175	0.000230
176	0.000928
177	0.000158
178	0.001511
179	0.000118
180	0.001817
181	0.004805
182	0.000130
183	0.000244
184	0.000936
185	0.001340
186	0.003534
187	0.001440
188	0.003210
189	0.000228
190	0.000265
191	0.000433
192	0.000222
193	0.000511
194	0.001618
195	0.004164
196	0.001208
197	0.000782
198	0.000132
199	0.003224
200	0.003731
201	0.000464
202	0.000125
203	0.003030
204	0.001650
205	0.000186
206	0.000358
207	0.000272
208	0.000813
209	0.000113
210	0.000112
211	0.002133
212	0.001735
213	0.002492
214	0.000410
215	0.000112
216	0.000113
217	0.000249
218	0.003760
219	0.000125
220	0.000214
221	0.000836
222	0.000985
223	0.002259
224	0.002339
225	0.000153
226	0.000379
227	0.000169
228	0.000621
229	0.000420
230	0.000272
231	0.001815
232	0.002153
233	0.000113
234	0.000142
235	0.000341
236	0.002454
237	0.000534
238	0.001778
239	0.003120
240	0.000225
241	0.000147
242	0.001399
243	0.000121
244	0.000112
245	0.000468
246	0.000962
247	0.000135
248	0.001562
249	0.001319
250	0.000351
251	0.000676
252	0.001988
253	0.000192
254	0.000947
255	0.000147
256	0.000112
257	0.001282
258	0.001020
259	0.000512
260	0.000635
261	0.001237
262	0.000204
263	0.000144
264	0.000397
265	0.000994
266	0.000953
267	0.000169
268	0.000502
269	0.000199
270	0.000356
271	0.002035
272	0.001333
273	0.003395
274	0.000964
275	0.003241
276	0.000796
277	0.001733
278	0.000147
279	0.000212
280	0.001387
281	0.000354
282	0.000111
283	0.000840
284	0.000348
285	0.001359
286	0.000130
287	0.000110
