nodeid	pagerank
0	0.002317
1	0.004051
2	0.001009
3	0.004466
4	0.004565
5	0.002519
6	0.000512
7	0.002071
8	0.000783
9	0.004046
10	0.002210
11	0.000283
12	0.000268
13	0.003437
14	0.000636
15	0.000235
16	0.001333
17	0.000543
18	0.000213
19	0.000477
20	0.000607
21	0.003378
22	0.001443
23	0.000484
24	0.001526
25	0.003349
26	0.003651
27	0.000522
28	0.000539
29	0.001824
30	0.003299
31	0.002024
32	0.000234
33	0.000173
34	0.000214
35	0.000170
36	0.000460
37	0.000157
38	0.001532
39	0.001766
40	0.002949
41	0.000611
42	0.000166
43	0.000150
44	0.000350
45	0.001001
46	0.000176
47	0.000153
48	0.003054
49	0.000165
50	0.000675
51	0.000697
52	0.000151
53	0.002515
54	0.001469
55	0.002707
56	0.003363
57	0.001940
58	0.000216
59	0.002218
60	0.001041
61	0.000239
62	0.002572
63	0.000705
64	0.000247
65	0.001304
66	0.001807
67	0.003172
68	0.000172
69	0.001065
70	0.000140
71	0.000148
72	0.002190
73	0.001724
74	0.000130
75	0.001406
76	0.000304
77	0.000590
78	0.004058
79	0.001437
80	0.002136
81	0.000137
82	0.002015
83	0.000653
84	0.001224
85	0.001204
86	0.000148
87	0.001833
88	0.002394
89	0.000300
90	0.000129
91	0.000716
92	0.001969
93	0.000342
94	0.001779
95	0.000264
96	0.000896
97	0.000133
98	0.002661
99	0.000184
100	0.000276
101	0.001580
102	0.000154
103	0.001333
104	0.002183
105	0.001284
106	0.001166
107	0.000545
108	0.001037
109	0.002033
110	0.000544
111	0.000408
112	0.000237
113	0.002308
114	0.000121
115	0.000558
116	0.000507
117	0.000625
118	0.001978
119	0.002092
120	0.000166
121	0.000767
122	0.002463
123	0.001339
124	0.000338
125	0.000337
126	0.001027
127	0.000997
128	0.001800
129	0.000475
130	0.001645
131	0.000157
132	0.000779
133	0.001790
134	0.001300
135	0.000583
136	0.000688
137	0.000375
138	0.000207
139	0.000629
140	0.000362
141	0.002278
142	0.002104
143	0.000168
144	0.000412
145	0.000119
